,Remuneration,Spending_Score,Customer_Segments,Product,Review_Polarity,Summary_Polarity
0,12.3,39,LowSpending_and_LowRemuneration,453,0.1751546139046139,0.25
1,12.3,39,LowSpending_and_LowRemuneration,453,0.1751546139046139,0.25
2,12.3,39,LowSpending_and_LowRemuneration,453,0.1751546139046139,0.25
3,12.3,39,LowSpending_and_LowRemuneration,453,0.1751546139046139,0.25
4,12.3,39,LowSpending_and_LowRemuneration,453,0.1751546139046139,0.25
5,12.3,39,LowSpending_and_LowRemuneration,453,0.1751546139046139,0.25
6,12.3,39,LowSpending_and_LowRemuneration,453,0.1751546139046139,0.25
7,12.3,39,LowSpending_and_LowRemuneration,453,0.1751546139046139,0.25
8,12.3,39,LowSpending_and_LowRemuneration,453,0.1751546139046139,0.25
9,12.3,39,LowSpending_and_LowRemuneration,453,0.1751546139046139,0.25
10,12.3,39,LowSpending_and_LowRemuneration,453,0.1751546139046139,0.25
11,12.3,39,LowSpending_and_LowRemuneration,453,0.1751546139046139,0.25
12,13.12,6,LowSpending_and_LowRemuneration,453,0.1751546139046139,0.25
13,13.12,6,LowSpending_and_LowRemuneration,453,0.1751546139046139,0.25
14,13.12,6,LowSpending_and_LowRemuneration,453,0.1751546139046139,0.25
15,13.12,6,LowSpending_and_LowRemuneration,453,0.1751546139046139,0.25
16,13.12,6,LowSpending_and_LowRemuneration,453,0.1751546139046139,0.25
17,13.12,6,LowSpending_and_LowRemuneration,453,0.1751546139046139,0.25
18,13.12,6,LowSpending_and_LowRemuneration,453,0.1751546139046139,0.25
19,13.12,6,LowSpending_and_LowRemuneration,453,0.1751546139046139,0.25
20,13.12,6,LowSpending_and_LowRemuneration,453,0.1751546139046139,0.25
21,13.12,6,LowSpending_and_LowRemuneration,453,0.1751546139046139,0.25
22,13.12,6,LowSpending_and_LowRemuneration,453,0.1751546139046139,0.25
23,13.12,6,LowSpending_and_LowRemuneration,453,0.1751546139046139,0.25
24,13.12,6,LowSpending_and_LowRemuneration,453,0.1751546139046139,0.25
25,16.4,77,HighSpending_and_LowRemuneration,453,0.1751546139046139,0.25
26,16.4,77,HighSpending_and_LowRemuneration,453,0.1751546139046139,0.25
27,16.4,77,HighSpending_and_LowRemuneration,453,0.1751546139046139,0.25
28,16.4,77,HighSpending_and_LowRemuneration,453,0.1751546139046139,0.25
29,16.4,77,HighSpending_and_LowRemuneration,453,0.1751546139046139,0.25
30,16.4,77,HighSpending_and_LowRemuneration,453,0.1751546139046139,0.25
31,16.4,77,HighSpending_and_LowRemuneration,453,0.1751546139046139,0.25
32,16.4,77,HighSpending_and_LowRemuneration,453,0.1751546139046139,0.25
33,16.4,77,HighSpending_and_LowRemuneration,453,0.1751546139046139,0.25
34,16.4,77,HighSpending_and_LowRemuneration,453,0.1751546139046139,0.25
35,16.4,77,HighSpending_and_LowRemuneration,453,0.1751546139046139,0.25
36,16.4,77,HighSpending_and_LowRemuneration,453,0.1751546139046139,0.25
37,16.4,77,HighSpending_and_LowRemuneration,453,0.1751546139046139,0.25
38,16.4,77,HighSpending_and_LowRemuneration,453,0.1751546139046139,0.25
39,16.4,77,HighSpending_and_LowRemuneration,453,0.1751546139046139,0.25
40,16.4,13,LowSpending_and_LowRemuneration,453,0.1751546139046139,0.25
41,16.4,13,LowSpending_and_LowRemuneration,453,0.1751546139046139,0.25
42,16.4,13,LowSpending_and_LowRemuneration,453,0.1751546139046139,0.25
43,16.4,13,LowSpending_and_LowRemuneration,453,0.1751546139046139,0.25
44,16.4,13,LowSpending_and_LowRemuneration,453,0.1751546139046139,0.25
45,16.4,13,LowSpending_and_LowRemuneration,453,0.1751546139046139,0.25
46,16.4,13,LowSpending_and_LowRemuneration,453,0.1751546139046139,0.25
47,16.4,13,LowSpending_and_LowRemuneration,453,0.1751546139046139,0.25
48,16.4,13,LowSpending_and_LowRemuneration,453,0.1751546139046139,0.25
49,16.4,13,LowSpending_and_LowRemuneration,453,0.1751546139046139,0.25
50,16.4,13,LowSpending_and_LowRemuneration,453,0.1751546139046139,0.25
51,16.4,13,LowSpending_and_LowRemuneration,453,0.1751546139046139,0.25
52,16.4,13,LowSpending_and_LowRemuneration,453,0.1751546139046139,0.25
53,16.4,13,LowSpending_and_LowRemuneration,453,0.1751546139046139,0.25
54,16.4,13,LowSpending_and_LowRemuneration,453,0.1751546139046139,0.25
55,84.46,17,LowSpending_and_HighRemuneration,453,0.1751546139046139,0.25
56,84.46,17,LowSpending_and_HighRemuneration,453,0.1751546139046139,0.25
57,84.46,17,LowSpending_and_HighRemuneration,453,0.1751546139046139,0.25
